y_m,tau_kinematic_m2s2,tau_Pa,tau_over_tau_cr
5.602381,0.00548854,5.4885,0.188379
5.650886,0.00547531,5.4753,0.187924
5.699391,0.00546068,5.4607,0.187422
5.747897,0.00546275,5.4628,0.187493
5.796402,0.00545329,5.4533,0.187169
5.844908,0.00545256,5.4526,0.187144
5.893413,0.00543566,5.4357,0.186564
5.941919,0.00541747,5.4175,0.185939
5.990424,0.00541364,5.4136,0.185808
6.038930,0.00539768,5.3977,0.185260
6.087435,0.00537638,5.3764,0.184529
6.135941,0.00534897,5.3490,0.183588
6.184446,0.00535248,5.3525,0.183709
6.232952,0.00531574,5.3157,0.182447
6.281457,0.00529930,5.2993,0.181883
6.329962,0.00525504,5.2550,0.180364
6.378468,0.00521937,5.2194,0.179140
6.426973,0.00519118,5.1912,0.178173
6.475479,0.00513502,5.1350,0.176245
6.523984,0.00509215,5.0921,0.174773
6.572490,0.00505158,5.0516,0.173381
6.620995,0.00496364,4.9636,0.170363
6.669501,0.00492632,4.9263,0.169082
6.718006,0.00481212,4.8121,0.165162
6.766512,0.00473229,4.7323,0.162422
6.815017,0.00464968,4.6497,0.159587
6.863522,0.00451057,4.5106,0.154812
6.912028,0.00441603,4.4160,0.151568
6.960533,0.00423263,4.2326,0.145273
7.009039,0.00407178,4.0718,0.139752
7.057544,0.00379294,3.7929,0.130182
7.106050,0.00359365,3.5936,0.123342
7.154555,0.00324075,3.2408,0.111230
7.203061,0.00282363,2.8236,0.096913
7.251566,0.00193515,1.9351,0.066418
